66.86;61.51;59.87;black
68.54;63.29;61.25;black
67.66;62.34;60.61;black
69.38;63.88;61.9;black
67.99;62.83;60.7;black
67.24;61.77;60.0;black
69.6;64.14;62.43;black
73.7;67.67;65.78;black
79.47;72.82;70.94;black
71.17;65.68;63.53;black
70.26;64.76;62.89;black
68.68;63.25;61.38;black
62.88;57.66;56.19;black
81.51;74.77;72.71;black
69.48;63.99;62.24;black
67.3;61.81;59.94;black
68.36;63.17;61.26;black
68.35;62.91;60.95;black
69.27;63.94;62.14;black
69.43;63.95;62.26;black
199.42;199.44;199.54;white
204.46;204.46;205.72;white
198.88;198.8;198.84;white
197.89;197.89;197.82;white
206.07;206.09;206.21;white
55.82;50.86;49.04;black
54.64;49.9;48.12;black
54.52;49.9;47.61;black
55.4;50.37;48.77;black
55.93;51.25;49.32;black
55.78;50.96;49.18;black
52.19;47.58;45.87;black
53.08;48.56;46.44;black
57.83;52.74;50.94;black
56.43;51.65;49.78;black
69.56;63.73;60.93;black
55.3;50.5;48.95;black
55.56;50.75;49.01;black
54.62;49.9;47.97;black
55.82;51.15;49.25;black
57.42;52.7;50.07;black
55.68;50.93;49.19;black
56.13;51.14;49.27;black
60.17;55.13;52.72;black
60.42;55.57;52.65;black
188.78;188.75;188.84;white
189.98;190.05;190.02;white
189.92;189.9;191.38;white
181.71;181.66;181.54;white
189.52;189.53;190.38;white
53.76;49.04;47.87;black
56.19;51.36;49.67;black
55.59;50.68;48.91;black
52.78;48.16;46.68;black
55.14;50.32;48.86;black
55.08;50.12;48.31;black
56.44;51.64;50.03;black
59.31;54.17;51.99;black
53.96;49.33;47.76;black
57.85;53.03;50.87;black
55.22;50.5;48.94;black
56.09;51.33;49.43;black
56.1;51.28;49.62;black
54.24;49.5;47.84;black
59.08;53.97;51.36;black
54.94;50.31;48.72;black
50.46;45.98;44.09;black
58.26;53.21;51.31;black
56.26;51.49;49.72;black
52.82;48.07;46.42;black
187.06;188.31;187.27;white
184.02;184.04;184.91;white
188.68;188.7;189.66;white
190.05;190.04;191.25;white
189.46;189.45;189.94;white
66.6;61.08;57.55;black
62.98;57.59;53.94;black
66.16;60.65;57.08;black
65.69;60.0;56.54;black
67.0;61.04;57.64;black
66.39;60.9;57.35;black
66.15;60.45;57.03;black
63.51;58.28;54.85;black
79.39;72.41;69.26;black
69.64;63.32;60.07;black
66.87;61.22;57.64;black
64.53;59.26;55.84;black
66.56;60.9;57.42;black
69.14;63.21;59.91;black
67.26;61.5;58.09;black
65.4;59.85;56.23;black
64.06;58.68;55.29;black
67.67;62.1;58.61;black
